a11y-audit.md                                           | "扫描前端项目中 WCAG 2.2 无障碍违规并修复。用法: /a11y-audit [路径]"
add-language-rules.md                                   | 添加语言规则
add-sub.md                                              | Subscribe to a skill event. Adds a subscription that injects context before or after a skill runs. Supports optional conditions at both insert-level (inherited) and subscription-level (AND-stacked).
add-to-release.md                                       | 将工作项添加到现有发布
agent-sort.md                                           | Legacy slash-entry shim for the agent-sort skill. Prefer the skill directly.
analyze.md                                              | 在生成任务后对 spec.md / plan.md / tasks.md 进行非破坏性跨文档一致性与质量分析。
ars-3w.md                                               | ARS 深度研究 `三向扫描` 模式 — WHY / HOW / WHAT 论文对比
ars-abstract.md                                         | ARS 学术论文 `abstract-only` 模式 — 双语摘要 + 关键词
ars-cache-invalidate.md                                 | ARS /ars-cache-invalidate — 清除某引用键的缓存验证条目
ars-citation-check.md                                   | ARS 学术论文 `citation-check` 模式 — 引文错误报告
ars-disclosure.md                                       | ARS 学术论文 `disclosure` 模式 — 按出版方要求的 AI 使用声明
ars-format-convert.md                                   | ARS 学术论文 `format-convert` 模式 — 转换为 LaTeX / DOCX / PDF / Markdown
ars-full.md                                             | ARS 完整流程 — 研究 → 撰写 → 审核 → 修订 → 定稿
ars-lit-review.md                                       | ARS 学术论文 `lit-review` 模式 — 论文格式的注释参考书目
ars-mark-read.md                                        | ARS /ars-mark-read — 记录人工阅读信号（一个或多个引用键）
ars-outline.md                                          | ARS 学术论文 `outline-only` 模式 — 详细大纲 + 证据地图
ars-plan.md                                             | ARS 学术论文 `plan` 模式 — Socratic 逐章规划
ars-rebuttal-audit.md                                   | ARS 学术论文 `rebuttal-audit` 模式 — 对照审稿意见对现有 rebuttal 草稿做质量检查
ars-reviewer.md                                         | ARS 学术论文 `reviewer` 完整模式 — 模拟同行评审小组
ars-revision-coach.md                                   | ARS 学术论文 `revision-coach` 模式 — 修订路线图 + 回复信骨架
ars-revision.md                                         | ARS 学术论文 `revision` 模式 — 修订稿 + R&R 回复
ars-unmark-read.md                                      | ARS /ars-unmark-read — 撤销之前的人工阅读标记（一个或多个引用键）
aside.md                                                | Answer a quick side question without interrupting or losing context from the current task. Resume work automatically after answering.
ask.md                                                  | "OMC ask 兼容命令——在不加载完整技能描述的情况下提供 /oh-my-claudecode:ask 命令"
audit-project-agents.md                                 | 
audit-project-github.md                                 | 
audit-project.md                                        | Multi-agent code review with iterative improvement
auto-task.md                                            | 全自动任务执行 - 自动分解分配子代理执行并验证
auto-update.md                                          | Pull the latest ECC repo changes and reinstall the current managed targets.
auto.md                                                 | 智能命令选择器，自动分发到合适的 aimax 命令。
autoresearch.md                                         | "OMC autoresearch 兼容命令——在不加载完整技能描述的情况下提供 /oh-my-claudecode:autoresearch 命令"
